"Member","Party","Constituency","Vote.1","Vote.2","Vote.3","Vote.4","Vote.5","Vote.6","Vote.7","Vote.8"
"Diane Abbott","Labour","Hackney North and Stoke Newington","1","1","1","1",NA,"0","0",NA
"Debbie Abrahams","Labour","Oldham East and Saddleworth","1","1","1",NA,NA,"0","0","0"
"Nigel Adams","Conservative","Selby and Ainsty","0","0","0","0","0",NA,"1","0"
"Bim Afolami","Conservative","Hitchin and Harpenden",NA,"0","0","1","0","0",NA,"1"
"Adam Afriyie","Conservative","Windsor","0","0","0","0","0","1","1","0"
"Peter Aldous","Conservative","Waveney","0","0","0","0","0","0","0","1"
"Rushanara Ali","Labour","Bethnal Green and Bow","1","1","1","1","1","0","0","0"
"Heidi Allen","Other","South Cambridgeshire","0","1","0","0","1","0",NA,"0"
"Rosena Allin-Khan","Labour","Tooting","1","1","1","0","1","0","0","0"
"Mike Amesbury","Labour","Weaver Vale","1","1","1","1",NA,"0","0",NA
"David Amess","Conservative","Southend West","0","0","0","0","0","1","1","0"
"Stuart Andrew","Conservative","Pudsey","0","0","0","0","0","1","1","0"
"Tonia Antoniazzi","Labour","Gower","1","1","1","0","1","0","0","0"
"Edward Argar","Conservative","Charnwood","0","0","0","0","0",NA,"0","0"
"Jonathan Ashworth","Labour","Leicester South","1","1","1","1",NA,"0","0",NA
"Victoria Atkins","Conservative","Louth and Horncastle","0","0","0","0","0","0","0","0"
"Ian Austin","Other","Dudley North","1","0","1","1",NA,"0","0",NA
"Richard Bacon","Conservative","South Norfolk","0","0","0","0","0","1","1","0"
"Kemi Badenoch","Conservative","Saffron Walden","0","0","0","0","0",NA,"1","0"
"Adrian Bailey","Labour","West Bromwich West","1","1","1","1",NA,"0","0",NA
"Steve Baker","Conservative","Wycombe","0","0","0","0","0","1","1","0"
"Harriett Baldwin","Conservative","West Worcestershire","0","0","0","0","0",NA,NA,NA
"Hannah Bardell","Scottish National Party","Livingston",NA,"1",NA,NA,"1","0","0","0"
"John Baron","Conservative","Basildon and Billericay","0","0","0","0","0","1",NA,"0"
"Kevin Barron","Labour","Rother Valley","1","0",NA,"0","0","0","0","0"
"Guto Bebb","Conservative","Aberconwy","1","1","0","0","1","0","0","1"
"Margaret Beckett","Labour","Derby South","1","1","1",NA,NA,"0","0",NA
"Henry Bellingham","Conservative","North West Norfolk","0","0","0","0","0","1","1","0"
"Hilary Benn","Labour","Leeds Central","1","1","1","1",NA,"0","0",NA
"Richard Benyon","Conservative","Newbury","1","0","0","1","0","0","0","0"
"Paul Beresford","Conservative","Mole Valley","0","0","0","0","0","0","0","0"
"Luciana Berger","Other","Liverpool, Wavertree","0","1","0","0","1","0","0","0"
"Jake Berry","Conservative","Rossendale and Darwen","0","0","0","0","0","1","0","0"
"Clive Betts","Labour","Sheffield South East","1","1","1","1","1","0","0","0"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South",NA,"1",NA,NA,"1","0","0","0"
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber",NA,"1",NA,NA,"1","0","0","0"
"Bob Blackman","Conservative","Harrow East","0","0","0","0","0","1","1","1"
"Kirsty Blackman","Scottish National Party","Aberdeen North",NA,"1",NA,NA,"1","0","0","0"
"Roberta Blackman-Woods","Labour","City of Durham","1","1","1","1","1","0","0",NA
"Paul Blomfield","Labour","Sheffield Central","1","1","1","1","1","0","0","0"
"Crispin Blunt","Conservative","Reigate","0","0","0","0","0","1","1","0"
"Nick Boles","Conservative","Grantham and Stamford","1",NA,"0","1","0","0","0","1"
"Peter Bone","Conservative","Wellingborough","0","0","0","0","0","1","1","0"
"Peter Bottomley","Conservative","Worthing West","0","0","0","0","0","0",NA,"0"
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","0","0","0","0","0","0","0","0"
"Tracy Brabin","Labour","Batley and Spen","1",NA,"1","1",NA,"0","0",NA
"Ben Bradley","Conservative","Mansfield","0","0","0","0","0","1","1","0"
"Ben Bradshaw","Labour","Exeter","1","1","1",NA,"1","0","0","0"
"Graham Brady","Conservative","Altrincham and Sale West","0","0","0","0","0","0","0","0"
"Tom Brake","Other","Carshalton and Wallington",NA,"1",NA,NA,"1","0","0",NA
"Suella Braverman","Conservative","Fareham","0","0","0","0","0","1","1","0"
"Kevin Brennan","Labour","Cardiff West","1","1","1","1","1","0","0",NA
"Jack Brereton","Conservative","Stoke-on-Trent South","0","0","0","0","0","1","1","0"
"Andrew Bridgen","Conservative","North West Leicestershire","0","0","0","0","0","1","1","0"
"Steve Brine","Conservative","Winchester","1",NA,"0","1",NA,"0","0","1"
"Deidre Brock","Scottish National Party","Edinburgh North and Leith",NA,"1",NA,NA,"1","0","0","0"
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun",NA,"1",NA,NA,"1","0","0","0"
"Lyn Brown","Labour","West Ham","1","1","1",NA,"1","0","0","0"
"Nicholas Brown","Labour","Newcastle upon Tyne East","1","1","1","1",NA,"0","0",NA
"Fiona Bruce","Conservative","Congleton","0","0","0","0","0","1","1","0"
"Chris Bryant","Labour","Rhondda","1","1","1","1",NA,"0","0","0"
"Karen Buck","Labour","Westminster North","1","1","1",NA,"1","0","0","0"
"Robert Buckland","Conservative","South Swindon","0","0","0","0","0","0","0","0"
"Richard Burden","Labour","Birmingham, Northfield","1","1","1","1",NA,"0","0","0"
"Alex Burghart","Conservative","Brentwood and Ongar","0","0","0","0","0",NA,NA,"0"
"Richard Burgon","Labour","Leeds East","1","1","1","1",NA,"0","0",NA
"Conor Burns","Conservative","Bournemouth West","0","0","0","0","0","1","1","0"
"Alistair Burt","Conservative","North East Bedfordshire","1",NA,"0","1",NA,"0","0","1"
"Dawn Butler","Labour","Brent Central","1","1","1",NA,NA,"0","0","0"
"Liam Byrne","Labour","Birmingham, Hodge Hill","1","1","1","1",NA,"0","0",NA
"Vince Cable","Other","Twickenham",NA,"1","0",NA,"1","0","0","0"
"Ruth Cadbury","Labour","Brentford and Isleworth","1","1","1","0","1","0","0","0"
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",NA,"1",NA,NA,"1","0","0","0"
"Gregory Campbell","Other","East Londonderry","0","0","0",NA,"0",NA,"1",NA
"Ronnie Campbell","Labour","Blyth Valley","0","0","0","0","0","1","0","1"
"Alan Campbell","Labour","Tynemouth","1","1","1",NA,NA,"0","0",NA
"Dan Carden","Labour","Liverpool, Walton","1","1","1","1",NA,"0","0",NA
"Alistair Carmichael","Other","Orkney and Shetland",NA,"1",NA,NA,"1","0","0",NA
"James Cartlidge","Conservative","South Suffolk","0","0","0","1","0","0","0","1"
"William Cash","Conservative","Stone","0","0","0","0","0","1","1","0"
"Maria Caulfield","Conservative","Lewes","0","0","0","0","0","1","1","1"
"Alex Chalk","Conservative","Cheltenham","1",NA,"0","0",NA,"0","0","0"
"Sarah Champion","Labour","Rotherham","1","0","1","0","0","0","0","0"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife",NA,"1",NA,NA,"1","0","0","0"
"Jenny Chapman","Labour","Darlington","1","1","1","1",NA,"0","0",NA
"Bambos Charalambous","Labour","Enfield, Southgate","1","1","1","1","1","0","0",NA
"Joanna Cherry","Scottish National Party","Edinburgh South West",NA,"1",NA,NA,"1","0","0","0"
"Rehman Chishti","Conservative","Gillingham and Rainham","0","0","0","0","0","1",NA,"0"
"Christopher Chope","Conservative","Christchurch","0","0","0","0","0","1","1","0"
"Jo Churchill","Conservative","Bury St Edmunds","0","0","0","0","0","0","0","0"
"Colin Clark","Conservative","Gordon",NA,"0","0","0","0","0",NA,NA
"Kenneth Clarke","Conservative","Rushcliffe","1",NA,"1","1","1","0","0","0"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","0","0","0","0","0","1","1","0"
"James Cleverly","Conservative","Braintree","0","0","0","0","0",NA,"0","0"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","0","0","0","0","0","1","1","0"
"Ann Clwyd","Labour","Cynon Valley","0","1","0","0","1","0","0","0"
"Vernon Coaker","Labour","Gedling","1","1","1","1",NA,"0","0","0"
"Ann Coffey","Other","Stockport","0","1","0","0","1","0","0","0"
"Th?r?se Coffey","Conservative","Suffolk Coastal","0","0","0","0","0",NA,NA,"0"
