Party,Name,Constituency,Voting 1,Voting 2,Voting 3,Voting 4,Voting 5,Voting 6,Voting 7,Voting 8
"Lab
","Graham P Jones
",34,"gv-for""","gv-for""","gv-for""","gv-did-not-vote""","gv-did-not-vote""","gv-against""","gv-against""","gv-against"""
"Lab
","Diane Abbott
",80,"gv-for""","gv-for""","gv-for""","gv-for""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
"Con
","Nigel Adams
",42,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-did-not-vote""","gv-for""","gv-against"""
"Con
","Bim Afolami
",60,"gv-did-not-vote""","gv-against""","gv-against""","gv-for""","gv-against""","gv-against""","gv-did-not-vote""","gv-for"""
"Con
","Adam Afriyie
",53,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Con
","Peter Aldous
",37,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for"""
"Lab
","Rushanara Ali
",69,"gv-for""","gv-for""","gv-for""","gv-for""","gv-for""","gv-against""","gv-against""","gv-against"""
"Con
","Lucy Allan
",34,"gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote"""
"TIG
","Heidi Allen
",62,"gv-against""","gv-for""","gv-against""","gv-against""","gv-for""","gv-against""","gv-did-not-vote""","gv-against"""
"Lab
","Rosena Allin-Khan
",74,"gv-for""","gv-for""","gv-for""","gv-against""","gv-for""","gv-against""","gv-against""","gv-against"""
"Lab
","Mike Amesbury
",49,"gv-for""","gv-for""","gv-for""","gv-for""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
"Con
","Sir David Amess
",45,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Con
","Stuart Andrew
",51,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Lab
","Tonia Antoniazzi
",51,"gv-for""","gv-for""","gv-for""","gv-against""","gv-for""","gv-against""","gv-against""","gv-against"""
"Con
","Edward Argar
",42,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-did-not-vote""","gv-against""","gv-against"""
"Lab
","Jonathan Ashworth
",58,"gv-for""","gv-for""","gv-for""","gv-for""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
"Con
","Victoria Atkins
",31,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against"""
"Ind
","Ian Austin
",29,"gv-for""","gv-against""","gv-for""","gv-for""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
"Con
","Richard Bacon
",49,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Con
","Kemi Badenoch
",49,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-did-not-vote""","gv-for""","gv-against"""
"Lab
","Adrian Bailey
",31,"gv-for""","gv-for""","gv-for""","gv-for""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
"Con
","Steve Baker
",52,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Con
","Harriett Baldwin
",47,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote"""
"Con
","Stephen Barclay
",31,"gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote"""
"SNP
","Hannah Bardell
",57,"gv-did-not-vote""","gv-for""","gv-did-not-vote""","gv-did-not-vote""","gv-for""","gv-against""","gv-against""","gv-against"""
"Con
","John Baron
",33,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-did-not-vote""","gv-against"""
"Lab
","Sir Kevin Barron
",33,"gv-for""","gv-against""","gv-did-not-vote""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against"""
"Con
","Guto Bebb
",48,"gv-for""","gv-for""","gv-against""","gv-against""","gv-for""","gv-against""","gv-against""","gv-for"""
"Lab
","Margaret Beckett
",39,"gv-for""","gv-for""","gv-for""","gv-did-not-vote""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
"SF
","Órfhlaith Begley
",67,"gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote"""
"Con
","Sir Henry Bellingham
",34,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Lab
","Hilary Benn
",54,"gv-for""","gv-for""","gv-for""","gv-for""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
"Con
","Richard Benyon
",52,"gv-for""","gv-against""","gv-against""","gv-for""","gv-against""","gv-against""","gv-against""","gv-against"""
"Oth
","John Bercow
",51,"gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote""","gv-did-not-vote"""
"Con
","Sir Paul Beresford
",53,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against"""
"TIG
","Luciana Berger
",65,"gv-against""","gv-for""","gv-against""","gv-against""","gv-for""","gv-against""","gv-against""","gv-against"""
"Con
","Jake Berry
",41,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-against""","gv-against"""
"Lab
","Clive Betts
",34,"gv-for""","gv-for""","gv-for""","gv-for""","gv-for""","gv-against""","gv-against""","gv-against"""
"SNP
","Mhairi Black
",65,"gv-did-not-vote""","gv-for""","gv-did-not-vote""","gv-did-not-vote""","gv-for""","gv-against""","gv-against""","gv-against"""
"SNP
","Ian Blackford
",56,"gv-did-not-vote""","gv-for""","gv-did-not-vote""","gv-did-not-vote""","gv-for""","gv-against""","gv-against""","gv-against"""
"Con
","Bob Blackman
",53,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-for"""
"SNP
","Kirsty Blackman
",57,"gv-did-not-vote""","gv-for""","gv-did-not-vote""","gv-did-not-vote""","gv-for""","gv-against""","gv-against""","gv-against"""
"Lab
","Roberta Blackman-Woods
",57,"gv-for""","gv-for""","gv-for""","gv-for""","gv-for""","gv-against""","gv-against""","gv-did-not-vote"""
"Lab
","Paul Blomfield
",68,"gv-for""","gv-for""","gv-for""","gv-for""","gv-for""","gv-against""","gv-against""","gv-against"""
"Con
","Crispin Blunt
",52,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Con
","Nick Boles
",39,"gv-for""","gv-did-not-vote""","gv-against""","gv-for""","gv-against""","gv-against""","gv-against""","gv-for"""
"Con
","Peter Bone
",37,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-for""","gv-for""","gv-against"""
"Con
","Sir Peter Bottomley
",44,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-did-not-vote""","gv-against"""
"Con
","Andrew Bowie
",61,"gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against""","gv-against"""
"Lab
","Tracy Brabin
",40,"gv-for""","gv-did-not-vote""","gv-for""","gv-for""","gv-did-not-vote""","gv-against""","gv-against""","gv-did-not-vote"""
