"Member","Party","Constituency","Vote.1","Vote.2","Vote.3","Vote.4","Vote.5","Vote.6","Vote.7","Vote.8"
"Diane Abbott","Labour","Hackney North and Stoke Newington","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Yes","Yes","Yes","Maybe","Maybe","No","No","No"
"Nigel Adams","Conservative","Selby and Ainsty","No","No","No","No","No","Maybe","Yes","No"
"Bim Afolami","Conservative","Hitchin and Harpenden","Maybe","No","No","Yes","No","No","Maybe","Yes"
"Adam Afriyie","Conservative","Windsor","No","No","No","No","No","Yes","Yes","No"
"Peter Aldous","Conservative","Waveney","No","No","No","No","No","No","No","Yes"
"Rushanara Ali","Labour","Bethnal Green and Bow","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Heidi Allen","Other","South Cambridgeshire","No","Yes","No","No","Yes","No","Maybe","No"
"Rosena Allin-Khan","Labour","Tooting","Yes","Yes","Yes","No","Yes","No","No","No"
"Mike Amesbury","Labour","Weaver Vale","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"David Amess","Conservative","Southend West","No","No","No","No","No","Yes","Yes","No"
"Stuart Andrew","Conservative","Pudsey","No","No","No","No","No","Yes","Yes","No"
"Tonia Antoniazzi","Labour","Gower","Yes","Yes","Yes","No","Yes","No","No","No"
"Edward Argar","Conservative","Charnwood","No","No","No","No","No","Maybe","No","No"
"Jonathan Ashworth","Labour","Leicester South","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Victoria Atkins","Conservative","Louth and Horncastle","No","No","No","No","No","No","No","No"
"Ian Austin","Other","Dudley North","Yes","No","Yes","Yes","Maybe","No","No","Maybe"
"Richard Bacon","Conservative","South Norfolk","No","No","No","No","No","Yes","Yes","No"
"Kemi Badenoch","Conservative","Saffron Walden","No","No","No","No","No","Maybe","Yes","No"
"Adrian Bailey","Labour","West Bromwich West","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Steve Baker","Conservative","Wycombe","No","No","No","No","No","Yes","Yes","No"
"Harriett Baldwin","Conservative","West Worcestershire","No","No","No","No","No","Maybe","Maybe","Maybe"
"Hannah Bardell","Other","Livingston","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"John Baron","Conservative","Basildon and Billericay","No","No","No","No","No","Yes","Maybe","No"
"Kevin Barron","Labour","Rother Valley","Yes","No","Maybe","No","No","No","No","No"
"Guto Bebb","Conservative","Aberconwy","Yes","Yes","No","No","Yes","No","No","Yes"
"Margaret Beckett","Labour","Derby South","Yes","Yes","Yes","Maybe","Maybe","No","No","Maybe"
"Henry Bellingham","Conservative","North West Norfolk","No","No","No","No","No","Yes","Yes","No"
"Hilary Benn","Labour","Leeds Central","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Richard Benyon","Conservative","Newbury","Yes","No","No","Yes","No","No","No","No"
"Paul Beresford","Conservative","Mole Valley","No","No","No","No","No","No","No","No"
"Luciana Berger","Other","Liverpool, Wavertree","No","Yes","No","No","Yes","No","No","No"
"Jake Berry","Conservative","Rossendale and Darwen","No","No","No","No","No","Yes","No","No"
"Clive Betts","Labour","Sheffield South East","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Mhairi Black","Other","Paisley and Renfrewshire South","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Ian Blackford","Other","Ross, Skye and Lochaber","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Bob Blackman","Conservative","Harrow East","No","No","No","No","No","Yes","Yes","Yes"
"Kirsty Blackman","Other","Aberdeen North","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Roberta Blackman-Woods","Labour","City of Durham","Yes","Yes","Yes","Yes","Yes","No","No","Maybe"
"Paul Blomfield","Labour","Sheffield Central","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Crispin Blunt","Conservative","Reigate","No","No","No","No","No","Yes","Yes","No"
"Nick Boles","Conservative","Grantham and Stamford","Yes","Maybe","No","Yes","No","No","No","Yes"
"Peter Bone","Conservative","Wellingborough","No","No","No","No","No","Yes","Yes","No"
"Peter Bottomley","Conservative","Worthing West","No","No","No","No","No","No","Maybe","No"
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No","No","No","No","No","No","No","No"
"Tracy Brabin","Labour","Batley and Spen","Yes","Maybe","Yes","Yes","Maybe","No","No","Maybe"
"Ben Bradley","Conservative","Mansfield","No","No","No","No","No","Yes","Yes","No"
"Ben Bradshaw","Labour","Exeter","Yes","Yes","Yes","Maybe","Yes","No","No","No"
"Graham Brady","Conservative","Altrincham and Sale West","No","No","No","No","No","No","No","No"
"Tom Brake","Other","Carshalton and Wallington","Maybe","Yes","Maybe","Maybe","Yes","No","No","Maybe"
"Suella Braverman","Conservative","Fareham","No","No","No","No","No","Yes","Yes","No"
"Kevin Brennan","Labour","Cardiff West","Yes","Yes","Yes","Yes","Yes","No","No","Maybe"
"Jack Brereton","Conservative","Stoke-on-Trent South","No","No","No","No","No","Yes","Yes","No"
"Andrew Bridgen","Conservative","North West Leicestershire","No","No","No","No","No","Yes","Yes","No"
"Steve Brine","Conservative","Winchester","Yes","Maybe","No","Yes","Maybe","No","No","Yes"
"Deidre Brock","Other","Edinburgh North and Leith","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Alan Brown","Other","Kilmarnock and Loudoun","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Lyn Brown","Labour","West Ham","Yes","Yes","Yes","Maybe","Yes","No","No","No"
"Nicholas Brown","Labour","Newcastle upon Tyne East","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Fiona Bruce","Conservative","Congleton","No","No","No","No","No","Yes","Yes","No"
"Chris Bryant","Labour","Rhondda","Yes","Yes","Yes","Yes","Maybe","No","No","No"
"Karen Buck","Labour","Westminster North","Yes","Yes","Yes","Maybe","Yes","No","No","No"
"Robert Buckland","Conservative","South Swindon","No","No","No","No","No","No","No","No"
"Richard Burden","Labour","Birmingham, Northfield","Yes","Yes","Yes","Yes","Maybe","No","No","No"
"Alex Burghart","Conservative","Brentwood and Ongar","No","No","No","No","No","Maybe","Maybe","No"
"Richard Burgon","Labour","Leeds East","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Conor Burns","Conservative","Bournemouth West","No","No","No","No","No","Yes","Yes","No"
"Alistair Burt","Conservative","North East Bedfordshire","Yes","Maybe","No","Yes","Maybe","No","No","Yes"
"Dawn Butler","Labour","Brent Central","Yes","Yes","Yes","Maybe","Maybe","No","No","No"
"Liam Byrne","Labour","Birmingham, Hodge Hill","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Vince Cable","Other","Twickenham","Maybe","Yes","No","Maybe","Yes","No","No","No"
"Ruth Cadbury","Labour","Brentford and Isleworth","Yes","Yes","Yes","No","Yes","No","No","No"
"Lisa Cameron","Other","East Kilbride, Strathaven and Lesmahagow","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Gregory Campbell","Other","East Londonderry","No","No","No","Maybe","No","Maybe","Yes","Maybe"
"Ronnie Campbell","Labour","Blyth Valley","No","No","No","No","No","Yes","No","Yes"
"Alan Campbell","Labour","Tynemouth","Yes","Yes","Yes","Maybe","Maybe","No","No","Maybe"
"Dan Carden","Labour","Liverpool, Walton","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Alistair Carmichael","Other","Orkney and Shetland","Maybe","Yes","Maybe","Maybe","Yes","No","No","Maybe"
"James Cartlidge","Conservative","South Suffolk","No","No","No","Yes","No","No","No","Yes"
"William Cash","Conservative","Stone","No","No","No","No","No","Yes","Yes","No"
"Maria Caulfield","Conservative","Lewes","No","No","No","No","No","Yes","Yes","Yes"
"Alex Chalk","Conservative","Cheltenham","Yes","Maybe","No","No","Maybe","No","No","No"
"Sarah Champion","Labour","Rotherham","Yes","No","Yes","No","No","No","No","No"
"Douglas Chapman","Other","Dunfermline and West Fife","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Jenny Chapman","Labour","Darlington","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Bambos Charalambous","Labour","Enfield, Southgate","Yes","Yes","Yes","Yes","Yes","No","No","Maybe"
"Joanna Cherry","Other","Edinburgh South West","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Rehman Chishti","Conservative","Gillingham and Rainham","No","No","No","No","No","Yes","Maybe","No"
"Christopher Chope","Conservative","Christchurch","No","No","No","No","No","Yes","Yes","No"
"Jo Churchill","Conservative","Bury St Edmunds","No","No","No","No","No","No","No","No"
"Colin Clark","Conservative","Gordon","Maybe","No","No","No","No","No","Maybe","Maybe"
"Kenneth Clarke","Conservative","Rushcliffe","Yes","Maybe","Yes","Yes","Yes","No","No","No"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","No","No","No","No","No","Yes","Yes","No"
"James Cleverly","Conservative","Braintree","No","No","No","No","No","Maybe","No","No"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No","No","No","No","No","Yes","Yes","No"
"Ann Clwyd","Labour","Cynon Valley","No","Yes","No","No","Yes","No","No","No"
"Vernon Coaker","Labour","Gedling","Yes","Yes","Yes","Yes","Maybe","No","No","No"
"Ann Coffey","Other","Stockport","No","Yes","No","No","Yes","No","No","No"
"Th?r?se Coffey","Conservative","Suffolk Coastal","No","No","No","No","No","Maybe","Maybe","No"
"Damian Collins","Conservative","Folkestone and Hythe","No","No","No","Yes","No","No","No","Yes"
"Julie Cooper","Labour","Burnley","Yes","Maybe","Yes","Yes","Maybe","No","No","Maybe"
"Rosie Cooper","Labour","West Lancashire","Yes","No","Yes","No","No","No","No","No"
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Jeremy Corbyn","Labour","Islington North","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Alberto Costa","Conservative","South Leicestershire","No","No","No","Yes","No","No","No","Yes"
"Robert Courts","Conservative","Witney","No","No","No","No","No","Yes","Yes","Yes"
"Ronnie Cowan","Other","Inverclyde","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Neil Coyle","Labour","Bermondsey and Old Southwark","Yes","Yes","Yes","No","Yes","No","No","No"
"Stephen Crabb","Conservative","Preseli Pembrokeshire","Yes","No","No","Yes","No","No","No","Yes"
"David Crausby","Labour","Bolton North East","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Angela Crawley","Other","Lanark and Hamilton East","Maybe","Yes","Maybe","Maybe","Yes","No","No","No"
"Mary Creagh","Labour","Wakefield","Yes","Yes","Yes","Maybe","Yes","No","No","No"
"Stella Creasy","Labour","Walthamstow","Yes","Yes","Yes","Maybe","Yes","No","No","No"
"Tracey Crouch","Conservative","Chatham and Aylesford","No","No","No","No","No","Yes","Maybe","No"
"Jon Cruddas","Labour","Dagenham and Rainham","Yes","No","Yes","Yes","No","No","No","Maybe"
"John Cryer","Labour","Leyton and Wanstead","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Judith Cummins","Labour","Bradford South","Yes","Maybe","Yes","Maybe","Maybe","No","No","Maybe"
"Alex Cunningham","Labour","Stockton North","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Jim Cunningham","Labour","Coventry South","No","Yes","Yes","Yes","No","No","No","No"
"Janet Daby","Labour","Lewisham East","Yes","Yes","Yes","Maybe","Yes","No","No","No"
"Nic Dakin","Labour","Scunthorpe","Yes","Yes","Yes","Maybe","Maybe","No","No","Maybe"
"Edward Davey","Other","Kingston and Surbiton","Maybe","Yes","Maybe","Maybe","Yes","No","No","Maybe"
"Wayne David","Labour","Caerphilly","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe"
"Chris Davies","Conservative","Brecon and Radnorshire","No","No","No","No","No","Yes","Yes","Yes"
"David T. C. Davies","Conservative","Monmouth","No","No","No","No","No","Yes","Yes","No"
"Geraint Davies","Labour","Swansea West","Yes","Yes","Yes","Maybe","Yes","No","No","No"
"Glyn Davies","Conservative","Montgomeryshire","No","No","No","No","No","Yes","Yes","Yes"
"Mims Davies","Conservative","Eastleigh","No","No","No","No","No","Yes","No","No"
"Philip Davies","Conservative","Shipley","No","No","No","No","No","Yes","Yes","No"
