"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"LAB","Graham P Jones
","34","1","1","1","0","0","-1","-1","-1"
"LAB","Diane Abbott
","80","1","1","1","1","0","-1","-1","0"
"CON","Nigel Adams
","42","-1","-1","-1","-1","-1","0","1","-1"
"CON","Bim Afolami
","60","0","-1","-1","1","-1","-1","0","1"
"CON","Adam Afriyie
","53","-1","-1","-1","-1","-1","1","1","-1"
"CON","Peter Aldous
","37","-1","-1","-1","-1","-1","-1","-1","1"
"LAB","Rushanara Ali
","69","1","1","1","1","1","-1","-1","-1"
"OTH","Heidi Allen
","62","-1","1","-1","-1","1","-1","0","-1"
"LAB","Rosena Allin-Khan
","74","1","1","1","-1","1","-1","-1","-1"
"LAB","Mike Amesbury
","49","1","1","1","1","0","-1","-1","0"
"CON","Sir David Amess
","45","-1","-1","-1","-1","-1","1","1","-1"
"CON","Stuart Andrew
","51","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Tonia Antoniazzi
","51","1","1","1","-1","1","-1","-1","-1"
"CON","Edward Argar
","42","-1","-1","-1","-1","-1","0","-1","-1"
"LAB","Jonathan Ashworth
","58","1","1","1","1","0","-1","-1","0"
"CON","Victoria Atkins
","31","-1","-1","-1","-1","-1","-1","-1","-1"
"OTH","Ian Austin
","29","1","-1","1","1","0","-1","-1","0"
"CON","Richard Bacon
","49","-1","-1","-1","-1","-1","1","1","-1"
"CON","Kemi Badenoch
","49","-1","-1","-1","-1","-1","0","1","-1"
"LAB","Adrian Bailey
","31","1","1","1","1","0","-1","-1","0"
"CON","Steve Baker
","52","-1","-1","-1","-1","-1","1","1","-1"
"CON","Harriett Baldwin
","47","-1","-1","-1","-1","-1","0","0","0"
"SNP","Hannah Bardell
","57","0","1","0","0","1","-1","-1","-1"
"CON","John Baron
","33","-1","-1","-1","-1","-1","1","0","-1"
"LAB","Sir Kevin Barron
","33","1","-1","0","-1","-1","-1","-1","-1"
