"","Member","Party","Constituency","Vote.1","Vote.2","Vote.3","Vote.4","Vote.5","Vote.6","Vote.7","Vote.8"
"1","Nigel Adams","Conservative","Selby and Ainsty","0","0","0","0","0","1","1","0"
"2","Bim Afolami","Conservative","Hitchin and Harpenden","0","0","0","1","0","0","1","1"
"3","Adam Afriyie","Conservative","Windsor","0","0","0","0","0","1","1","0"
"4","Peter Aldous","Conservative","Waveney","0","0","0","0","0","0","0","1"
"5","David Amess","Conservative","Southend West","0","0","0","0","0","1","1","0"
"6","Stuart Andrew","Conservative","Pudsey","0","0","0","0","0","1","1","0"
"7","Edward Argar","Conservative","Charnwood","0","0","0","0","0","1","0","0"
"8","Victoria Atkins","Conservative","Louth and Horncastle","0","0","0","0","0","0","0","0"
"9","Richard Bacon","Conservative","South Norfolk","0","0","0","0","0","1","1","0"
"10","Kemi Badenoch","Conservative","Saffron Walden","0","0","0","0","0","1","1","0"
"11","Steve Baker","Conservative","Wycombe","0","0","0","0","0","1","1","0"
"12","Harriett Baldwin","Conservative","West Worcestershire","0","0","0","0","0","1","1","0"
"13","John Baron","Conservative","Basildon and Billericay","0","0","0","0","0","1","1","0"
"14","Guto Bebb","Conservative","Aberconwy","1","1","0","0","1","0","0","1"
"15","Henry Bellingham","Conservative","North West Norfolk","0","0","0","0","0","1","1","0"
"16","Richard Benyon","Conservative","Newbury","1","0","0","1","0","0","0","0"
"17","Paul Beresford","Conservative","Mole Valley","0","0","0","0","0","0","0","0"
"18","Jake Berry","Conservative","Rossendale and Darwen","0","0","0","0","0","1","0","0"
"19","Bob Blackman","Conservative","Harrow East","0","0","0","0","0","1","1","1"
"20","Crispin Blunt","Conservative","Reigate","0","0","0","0","0","1","1","0"
"21","Nick Boles","Conservative","Grantham and Stamford","1","0","0","1","0","0","0","1"
"22","Peter Bone","Conservative","Wellingborough","0","0","0","0","0","1","1","0"
"23","Peter Bottomley","Conservative","Worthing West","0","0","0","0","0","0","1","0"
"24","Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","0","0","0","0","0","0","0","0"
"25","Ben Bradley","Conservative","Mansfield","0","0","0","0","0","1","1","0"
"26","Graham Brady","Conservative","Altrincham and Sale West","0","0","0","0","0","0","0","0"
"27","Suella Braverman","Conservative","Fareham","0","0","0","0","0","1","1","0"
"28","Jack Brereton","Conservative","Stoke-on-Trent South","0","0","0","0","0","1","1","0"
"29","Andrew Bridgen","Conservative","North West Leicestershire","0","0","0","0","0","1","1","0"
"30","Steve Brine","Conservative","Winchester","1","0","0","1","0","0","0","1"
"31","Fiona Bruce","Conservative","Congleton","0","0","0","0","0","1","1","0"
"32","Robert Buckland","Conservative","South Swindon","0","0","0","0","0","0","0","0"
"33","Alex Burghart","Conservative","Brentwood and Ongar","0","0","0","0","0","1","1","0"
"34","Conor Burns","Conservative","Bournemouth West","0","0","0","0","0","1","1","0"
"35","Alistair Burt","Conservative","North East Bedfordshire","1","0","0","1","0","0","0","1"
"36","James Cartlidge","Conservative","South Suffolk","0","0","0","1","0","0","0","1"
"37","William Cash","Conservative","Stone","0","0","0","0","0","1","1","0"
"38","Maria Caulfield","Conservative","Lewes","0","0","0","0","0","1","1","1"
"39","Alex Chalk","Conservative","Cheltenham","1","0","0","0","0","0","0","0"
"40","Rehman Chishti","Conservative","Gillingham and Rainham","0","0","0","0","0","1","1","0"
"41","Christopher Chope","Conservative","Christchurch","0","0","0","0","0","1","1","0"
"42","Jo Churchill","Conservative","Bury St Edmunds","0","0","0","0","0","0","0","0"
"43","Colin Clark","Conservative","Gordon","0","0","0","0","0","0","1","0"
"44","Kenneth Clarke","Conservative","Rushcliffe","1","0","1","1","1","0","0","0"
"45","Simon Clarke","Conservative","Middlesbrough South and East Cleveland","0","0","0","0","0","1","1","0"
"46","James Cleverly","Conservative","Braintree","0","0","0","0","0","1","0","0"
"47","Geoffrey Clifton-Brown","Conservative","The Cotswolds","0","0","0","0","0","1","1","0"
"48","Th?r?se Coffey","Conservative","Suffolk Coastal","0","0","0","0","0","1","1","0"
"49","Damian Collins","Conservative","Folkestone and Hythe","0","0","0","1","0","0","0","1"
"50","Alberto Costa","Conservative","South Leicestershire","0","0","0","1","0","0","0","1"
"51","Robert Courts","Conservative","Witney","0","0","0","0","0","1","1","1"
"52","Stephen Crabb","Conservative","Preseli Pembrokeshire","1","0","0","1","0","0","0","1"
"53","Tracey Crouch","Conservative","Chatham and Aylesford","0","0","0","0","0","1","1","0"
"54","Chris Davies","Conservative","Brecon and Radnorshire","0","0","0","0","0","1","1","1"
"55","David T. C. Davies","Conservative","Monmouth","0","0","0","0","0","1","1","0"
"56","Glyn Davies","Conservative","Montgomeryshire","0","0","0","0","0","1","1","1"
"57","Mims Davies","Conservative","Eastleigh","0","0","0","0","0","1","0","0"
"58","Philip Davies","Conservative","Shipley","0","0","0","0","0","1","1","0"
"59","David Davis","Conservative","Haltemprice and Howden","0","0","0","0","0","1","0","0"
"60","Caroline Dinenage","Conservative","Gosport","0","0","0","0","0","1","1","0"
"61","Jonathan Djanogly","Conservative","Huntingdon","1","0","0","1","0","0","0","1"
"62","Michelle Donelan","Conservative","Chippenham","0","0","0","0","0","1","1","0"
"63","Nadine Dorries","Conservative","Mid Bedfordshire","0","0","0","0","0","1","1","0"
"64","Steve Double","Conservative","St Austell and Newquay","0","0","0","0","0","1","1","0"
"65","Oliver Dowden","Conservative","Hertsmere","0","0","0","0","0","0","0","0"
"66","Jackie Doyle-Price","Conservative","Thurrock","0","0","0","0","0","1","0","0"
"67","Richard Drax","Conservative","South Dorset","0","0","0","0","0","1","1","0"
"68","James Duddridge","Conservative","Rochford and Southend East","0","0","0","0","0","1","1","0"
"69","David Duguid","Conservative","Banff and Buchan","0","0","0","0","0","0","0","1"
"70","Iain Duncan Smith","Conservative","Chingford and Woodford Green","0","0","0","0","0","1","1","0"
"71","Alan Duncan","Conservative","Rutland and Melton","0","0","0","0","1","0","0","0"
"72","Philip Dunne","Conservative","Ludlow","0","0","0","0","0","0","1","0"
"73","Michael Ellis","Conservative","Northampton North","0","0","0","0","0","1","0","0"
"74","Charlie Elphicke","Conservative","Dover","0","0","0","0","0","1","1","0"
"75","George Eustice","Conservative","Camborne and Redruth","0","0","0","1","0","1","1","1"
"76","Nigel Evans","Conservative","Ribble Valley","0","0","0","0","0","1","1","0"
"77","David Evennett","Conservative","Bexleyheath and Crayford","0","0","0","0","0","1","0","0"
"78","Michael Fabricant","Conservative","Lichfield","0","0","0","0","0","1","1","0"
