Member,Party,Constituency,Vote 1,Vote 2,Vote 3,Vote 4,Vote 5,Vote 6,Vote 7,Vote 8
Diane Abbott,Labour,Hackney North and Stoke Newington,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
Debbie Abrahams,Labour,Oldham East and Saddleworth,Aye,Aye,Aye,No Vote Recorded,No Vote Recorded,No,No,No
Nigel Adams,Conservative,Selby and Ainsty,No,No,No,No,No,No Vote Recorded,Aye,No
Bim Afolami,Conservative,Hitchin and Harpenden,No Vote Recorded,No,No,Aye,No,No,No Vote Recorded,Aye
Adam Afriyie,Conservative,Windsor,No,No,No,No,No,Aye,Aye,No
Peter Aldous,Conservative,Waveney,No,No,No,No,No,No,No,Aye
Rushanara Ali,Labour,Bethnal Green and Bow,Aye,Aye,Aye,Aye,Aye,No,No,No
Lucy Allan,Conservative,Telford,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded
Heidi Allen,Independent,South Cambridgeshire,No,Aye,No,No,Aye,No,No Vote Recorded,No
Rosena Allin-Khan,Labour,Tooting,Aye,Aye,Aye,No,Aye,No,No,No
Mike Amesbury,Labour,Weaver Vale,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
David Amess,Conservative,Southend West,No,No,No,No,No,Aye,Aye,No
Stuart Andrew,Conservative,Pudsey,No,No,No,No,No,Aye,Aye,No
Tonia Antoniazzi,Labour,Gower,Aye,Aye,Aye,No,Aye,No,No,No
Edward Argar,Conservative,Charnwood,No,No,No,No,No,No Vote Recorded,No,No
Jonathan Ashworth,Labour,Leicester South,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
Victoria Atkins,Conservative,Louth and Horncastle,No,No,No,No,No,No,No,No
Ian Austin,Independent,Dudley North,Aye,No,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
Richard Bacon,Conservative,South Norfolk,No,No,No,No,No,Aye,Aye,No
Kemi Badenoch,Conservative,Saffron Walden,No,No,No,No,No,No Vote Recorded,Aye,No
Adrian Bailey,Labour,West Bromwich West,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
Steve Baker,Conservative,Wycombe,No,No,No,No,No,Aye,Aye,No
Harriett Baldwin,Conservative,West Worcestershire,No,No,No,No,No,No Vote Recorded,No Vote Recorded,No Vote Recorded
Stephen Barclay,Conservative,North East Cambridgeshire,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded
Hannah Bardell,Scottish National Party,Livingston,No Vote Recorded,Aye,No Vote Recorded,No Vote Recorded,Aye,No,No,No
John Baron,Conservative,Basildon and Billericay,No,No,No,No,No,Aye,No Vote Recorded,No
Kevin Barron,Labour,Rother Valley,Aye,No,No Vote Recorded,No,No,No,No,No
Guto Bebb,Conservative,Aberconwy,Aye,Aye,No,No,Aye,No,No,Aye
Margaret Beckett,Labour,Derby South,Aye,Aye,Aye,No Vote Recorded,No Vote Recorded,No,No,No Vote Recorded
?rfhlaith Begley,Sinn F?in,West Tyrone,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded
Henry Bellingham,Conservative,North West Norfolk,No,No,No,No,No,Aye,Aye,No
Hilary Benn,Labour,Leeds Central,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
Richard Benyon,Conservative,Newbury,Aye,No,No,Aye,No,No,No,No
John Bercow,Speaker,Buckingham,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded
Paul Beresford,Conservative,Mole Valley,No,No,No,No,No,No,No,No
Luciana Berger,Independent,"Liverpool, Wavertree",No,Aye,No,No,Aye,No,No,No
Jake Berry,Conservative,Rossendale and Darwen,No,No,No,No,No,Aye,No,No
Clive Betts,Labour,Sheffield South East,Aye,Aye,Aye,Aye,Aye,No,No,No
Mhairi Black,Scottish National Party,Paisley and Renfrewshire South,No Vote Recorded,Aye,No Vote Recorded,No Vote Recorded,Aye,No,No,No
Ian Blackford,Scottish National Party,"Ross, Skye and Lochaber",No Vote Recorded,Aye,No Vote Recorded,No Vote Recorded,Aye,No,No,No
Bob Blackman,Conservative,Harrow East,No,No,No,No,No,Aye,Aye,Aye
Kirsty Blackman,Scottish National Party,Aberdeen North,No Vote Recorded,Aye,No Vote Recorded,No Vote Recorded,Aye,No,No,No
Roberta Blackman-Woods,Labour,City of Durham,Aye,Aye,Aye,Aye,Aye,No,No,No Vote Recorded
Paul Blomfield,Labour,Sheffield Central,Aye,Aye,Aye,Aye,Aye,No,No,No
Crispin Blunt,Conservative,Reigate,No,No,No,No,No,Aye,Aye,No
Nick Boles,Conservative,Grantham and Stamford,Aye,No Vote Recorded,No,Aye,No,No,No,Aye
Peter Bone,Conservative,Wellingborough,No,No,No,No,No,Aye,Aye,No
Peter Bottomley,Conservative,Worthing West,No,No,No,No,No,No,No Vote Recorded,No
Andrew Bowie,Conservative,West Aberdeenshire and Kincardine,No,No,No,No,No,No,No,No
Tracy Brabin,Labour,Batley and Spen,Aye,No Vote Recorded,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
Ben Bradley,Conservative,Mansfield,No,No,No,No,No,Aye,Aye,No
Karen Bradley,Conservative,Staffordshire Moorlands,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded
Ben Bradshaw,Labour,Exeter,Aye,Aye,Aye,No Vote Recorded,Aye,No,No,No
Mickey Brady,Sinn F?in,Newry and Armagh,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded
Graham Brady,Conservative,Altrincham and Sale West,No,No,No,No,No,No,No,No
Tom Brake,Liberal Democrat,Carshalton and Wallington,No Vote Recorded,Aye,No Vote Recorded,No Vote Recorded,Aye,No,No,No Vote Recorded
Suella Braverman,Conservative,Fareham,No,No,No,No,No,Aye,Aye,No
Kevin Brennan,Labour,Cardiff West,Aye,Aye,Aye,Aye,Aye,No,No,No Vote Recorded
Jack Brereton,Conservative,Stoke-on-Trent South,No,No,No,No,No,Aye,Aye,No
Andrew Bridgen,Conservative,North West Leicestershire,No,No,No,No,No,Aye,Aye,No
Steve Brine,Conservative,Winchester,Aye,No Vote Recorded,No,Aye,No Vote Recorded,No,No,Aye
Deidre Brock,Scottish National Party,Edinburgh North and Leith,No Vote Recorded,Aye,No Vote Recorded,No Vote Recorded,Aye,No,No,No
James Brokenshire,Conservative,Old Bexley and Sidcup,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded,No Vote Recorded
Alan Brown,Scottish National Party,Kilmarnock and Loudoun,No Vote Recorded,Aye,No Vote Recorded,No Vote Recorded,Aye,No,No,No
Lyn Brown,Labour,West Ham,Aye,Aye,Aye,No Vote Recorded,Aye,No,No,No
Nicholas Brown,Labour,Newcastle upon Tyne East,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
Fiona Bruce,Conservative,Congleton,No,No,No,No,No,Aye,Aye,No
Chris Bryant,Labour,Rhondda,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No
Karen Buck,Labour,Westminster North,Aye,Aye,Aye,No Vote Recorded,Aye,No,No,No
Robert Buckland,Conservative,South Swindon,No,No,No,No,No,No,No,No
Richard Burden,Labour,"Birmingham, Northfield",Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No
Alex Burghart,Conservative,Brentwood and Ongar,No,No,No,No,No,No Vote Recorded,No Vote Recorded,No
Richard Burgon,Labour,Leeds East,Aye,Aye,Aye,Aye,No Vote Recorded,No,No,No Vote Recorded
